table_name,description,DDL
DW_ORD,제품별 발주,"create TABLE DW_ORD (
	PRDT_CD VARCHAR(24) NOT NULL COMMENT '제품코드',
	BRD_CD VARCHAR(2) COMMENT '브랜드',
	SESN VARCHAR(4) COMMENT '시즌',
	PART_CD VARCHAR(18) COMMENT '파트코드',
	PO_NO VARCHAR(14) NOT NULL COMMENT 'PO번호',
	STYLE_CD VARCHAR(24) COMMENT '스타일코드',
	PRDT_NM VARCHAR(120) COMMENT '제품명',
	SESN_SUB VARCHAR(1) COMMENT '하위시즌:C028',
	SESN_RUNNING VARCHAR(6) COMMENT '운영시즌',
	PO_CNTRY VARCHAR(5) COMMENT 'PO국가:A006',
	SEX VARCHAR(1) COMMENT '성별:C029',
	ITEM VARCHAR(3) COMMENT '품종',
	THEME_USR VARCHAR(20) COMMENT '테마(사용자정의):P001',
	SHAPE1_USR VARCHAR(20) COMMENT 'SHAPE(사용자정의)-1:P002',
	SHAPE2_USR VARCHAR(20) COMMENT 'SHAPE(사용자정의)-2:P003',
	FIT_USR VARCHAR(20) COMMENT 'FIT(사용자정의):P004',
	SESN_USR VARCHAR(20) COMMENT '시즌(사용자정의):P005',
	SHOES_FIT_USR VARCHAR(20) COMMENT '신발FIT(사용자정의):P006',
	FIT_INFO1 VARCHAR(50) COMMENT 'FIT정보1',
	FIT_INFO2 VARCHAR(50) COMMENT 'FIT정보2',
	FAB_TYPE VARCHAR(8) COMMENT '원단타입:A007',
	FAB_INFO VARCHAR(65535) COMMENT '원단정보',
	IMG VARCHAR(100) COMMENT '이미지',
	TAG_PRICE NUMBER(38,0) COMMENT '소비자가(택가)',
	TAG_PRICE_CHN NUMBER(38,0) COMMENT '소비자가_중국(중국택가)',
	NEW_YN BOOLEAN COMMENT '신규여부',
	FAM_BRAND VARCHAR(2) COMMENT '패밀리 브랜드',
	FAM_PART_CD VARCHAR(14) COMMENT '패밀리 파트코드',
	ORD_QTY NUMBER(38,0) COMMENT '주문수량',
	INDC_DT_REQ DATE COMMENT '지시요청일 / 요청납기일',
	INDC_DT_CNFM DATE COMMENT '지시확정일 / 합의납기일',
	APV_STAT VARCHAR(1) COMMENT '결제상태(PO):A022',
	PO_CUST_CNTRY VARCHAR(5) COMMENT 'PO국가(유통망):C014',
	PO_CLS VARCHAR(2) COMMENT 'PO구분:C036',
	PO_CLS_NM VARCHAR(1200) COMMENT 'PO구분명:G026',
	MFAC_COMPY_EXPECT VARCHAR(6) COMMENT '예상생산처(PR)',
	MFAC_COMPY_EXPECT_NM VARCHAR(100) COMMENT '예상생산처명(PR)',
	MFAC_COMPY VARCHAR(6) COMMENT '생산처(PO)',
	MFAC_COMPY_NM VARCHAR(100) COMMENT '생산처명(PO)',
	PUB_DT DATE COMMENT '등록일',
	APV_DT DATE COMMENT '결제일',
	MFAC_COST NUMBER(38,0) COMMENT '제조원가',
	MFAC_PROCESSING_COST NUMBER(38,0) COMMENT '순수벤더제조원가 (임가공비), 납품가',
	DSGNR VARCHAR(30) COMMENT '디자이너',
	DSGNR_NM VARCHAR(180) COMMENT '디자이너명',
	DSGNR_TD VARCHAR(30) COMMENT '담당자_TD',
	DSGNR_TD_NM VARCHAR(180) COMMENT '담당자_TD명',
	DSGNR_MTRLS VARCHAR(30) COMMENT '담당자_소재소싱',
	DSGNR_MTRLS_NM VARCHAR(180) COMMENT '담당자_소재소싱명',
	DSGNR_GOODS VARCHAR(30) COMMENT '담당자_제품소싱',
	DSGNR_GOODS_NM VARCHAR(180) COMMENT '담당자_제품소싱명',
	DSGNR_PLAN VARCHAR(30) COMMENT '담당자_기획소싱',
	DSGNR_PLAN_NM VARCHAR(180) COMMENT '담당자_기획소싱명',
	DSGNR_SALE VARCHAR(30) COMMENT '유통MD담당자',
	DSGNR_SALE_NM VARCHAR(180) COMMENT '유통MD담당자명',
	ORIGIN VARCHAR(5) COMMENT '원산지-21F이전:C011,21F이후:C001&val4=SCM',
	ORIGIN_NM VARCHAR(20) COMMENT '원산지명',
	APV_STAT_PR VARCHAR(2) COMMENT '결제상태(PR)',
	REAL_PO_CNTRY VARCHAR(10) COMMENT '실PO국가',
	MIX_RATE_KOR VARCHAR(1300) COMMENT '혼용률',
	MIX_RATE_ENG VARCHAR(1300) COMMENT '혼용률(영어)',
	GROUP_PO_NO VARCHAR(30) COMMENT '그룹PO',
	WH_STOR_ESTM_DT DATE COMMENT '실물류입고예정일(RDD)',
	INCOTERMS VARCHAR(3) COMMENT '인도 조건 (FOB, DDP)',
	STOR_REQ_DT DATE COMMENT '물류입고요청일 (RDD)',
	GOODS_TYPE_CD VARCHAR(3) COMMENT '상/제품구분_코드',
	GOODS_TYPE_NM VARCHAR(54) COMMENT '상/제품구분_명:G025',
	primary key (PRDT_CD, PO_NO)
)COMMENT='제품별 발주'
;"
DB_PRDT,제품정보,"create TABLE DB_PRDT (
	PRDT_CD VARCHAR(24) NOT NULL COMMENT 'PK : 제품코드',
	STYLE_CD VARCHAR(24) COMMENT '스타일코드( 대표품번 )',
	PRDT_NM VARCHAR(120) COMMENT '제품명',
	PRDT_NM_ENG VARCHAR(120) COMMENT '제품명(영문)',
	PRDT_NM_CHN VARCHAR(120) COMMENT '제품명(중문)',
	PRDT_NM_JPN VARCHAR(120) COMMENT '제품명(일문)',
	BRD_CD VARCHAR(2) COMMENT '브랜드코드',
	BRD_NM VARCHAR(45) COMMENT '브랜드',
	SESN VARCHAR(4) COMMENT '시즌',
	SESN_SUB VARCHAR(4) COMMENT '서브시즌:C028',
	SESN_SUB_NM VARCHAR(100) COMMENT '서브시즌',
	PART_CD VARCHAR(18) COMMENT '제품코드',
	GOODS_CLS VARCHAR(1) COMMENT '제품구분:C010',
	GOODS_CLS_NM VARCHAR(100) COMMENT '제품구분',
	PLAN_PRICE NUMBER(38,0) COMMENT '계획금액',
	TAG_PRICE NUMBER(38,0) COMMENT 'TAG가',
	TAG_PRICE_CHN NUMBER(38,0) COMMENT 'TAG가(중국)',
	UNIT_COST NUMBER(18,0) COMMENT '입고원가',
	FOB_COST NUMBER(38,0) COMMENT 'FOB금액',
	ITEM VARCHAR(4) COMMENT '아이템코드',
